option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
call,100.0,2023-10-06,0.005565227042110604,71.02,71.14,12,0,2.812904,0.9999999999999994,-4.5859048578138485e-15,-0.03974318034333922,2.000000019390862e-5
put,100.0,2023-10-06,0.005567034500253678,0.0,0.01,0,0,2.459212,-6.0e-16,-4.5859048578138485e-15,-0.03974318034333922,2.000000019390862e-5
put,105.0,2023-10-06,0.005565100202942669,0.0,0.01,0,0,2.250257,2.4e-15,2.0133638105829385e-14,-0.04173033936039969,2.0e-5
call,105.0,2023-10-06,0.005565227042110604,66.04,66.15,0,1,2.616404,1.0000000000000024,2.0133638105829385e-14,-0.04173033936039969,2.0e-5
put,110.0,2023-10-06,0.005565100202942669,0.0,0.01,0,0,2.051193,-1.0e-16,-5.400980244071309e-16,-0.04371749837755009,2.000000038781724e-5
call,110.0,2023-10-06,0.005565227042110604,61.04,61.15,0,0,2.363876,0.9999999999999999,-5.400980244071309e-16,-0.04371749837755009,2.000000038781724e-5
put,115.0,2023-10-06,0.005565100202942669,0.0,0.01,0,1,1.860866,-1.0e-16,-5.400980244071309e-16,-0.045704657394610555,2.000000087258878e-5
call,115.0,2023-10-06,0.005565227042110604,56.05,56.16,0,0,2.122767,0.9999999999999999,-5.400980244071309e-16,-0.045704657394610555,2.000000087258878e-5
put,120.0,2023-10-06,0.005565100202942669,0.0,0.01,0,1,1.674576,4.0e-16,3.4474888961389626e-15,-0.04769181641184733,2.000000087258878e-5
call,120.0,2023-10-06,0.005565100202942669,51.05,51.16,0,0,1.892075,1.0000000000000004,3.4474888961389626e-15,-0.04769181641184733,2.000000087258878e-5
put,125.0,2023-10-06,0.005565100202942669,0.0,0.01,0,0,1.496015,-1.6e-15,-1.3115504176146609e-14,-0.04967897542872973,2.0000001163451715e-5
call,125.0,2023-10-06,0.005565100202942669,46.06,46.17,0,0,1.726338,0.9999999999999984,-1.3115504176146609e-14,-0.04967897542872973,2.0000001163451715e-5
put,130.0,2023-10-06,0.005567097919837646,0.0,0.01,0,8,1.324637,9.0e-16,7.742294189649699e-15,-0.05166613444605997,2.000000135736033e-5
call,130.0,2023-10-06,0.005565227042110604,41.07,41.17,0,0,1.513032,1.0000000000000009,7.742294189649699e-15,-0.05166613444605997,2.000000135736033e-5
put,135.0,2023-10-06,0.005567097919837646,0.0,0.01,0,86,1.15602,9.0e-16,7.742294189649699e-15,-0.05365329346320859,2.0000001260406023e-5
call,135.0,2023-10-06,0.005565100202942669,36.07,36.18,0,1,1.349807,1.0000000000000009,7.742294189649699e-15,-0.05365329346320859,2.0000001260406023e-5
put,140.0,2023-10-06,0.005565100202942669,0.0,0.01,0,5,0.993347,-1.0e-16,-5.400980244071309e-16,-0.05564045248022409,2.0000001696700416e-5
call,140.0,2023-10-06,0.005565100202942669,31.07,31.18,0,4,1.150195,0.9999999999999999,-5.400980244071309e-16,-0.05564045248022409,2.0000001696700416e-5
put,145.0,2023-10-06,0.005567097919837646,0.0,0.01,0,123,0.835888,-6.79166e-11,1.110130940095873e-10,-0.057627612086924726,2.0000068401265112e-5
call,145.0,2023-10-06,0.005565100202942669,26.08,26.19,0,1,0.98984,0.9999999999320834,1.110130940095873e-10,-0.057627612086924726,2.0000068401265112e-5
put,150.0,2023-10-06,0.005565258751902588,0.0,0.01,16,257,0.680061,-2.060433117e-7,2.633724784219089e-7,-0.05961616618510476,2.0141037494449974e-5
call,150.0,2023-10-06,0.005565100202942669,21.09,21.2,0,3,0.824596,0.9999997939566883,2.633724784219089e-7,-0.05961616618510476,2.0141037494449974e-5
