option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,280.0,2023-12-15,0.011545471841704718,0.0,0.01,0,5,NaN,NaN,NaN,NaN,NaN
call,280.0,2023-12-15,0.010959157787924912,302.25,307.95,4,7,4.020389,0.9999999999999897,-5.076407776182756e-15,-0.07337950589464098,2.0000020092837985e-5
put,290.0,2023-12-15,0.010959855403348553,0.0,0.01,0,10,2.036284,7.0e-16,-2.8278876857153157e-15,-0.07600020253377546,2.0000020092837985e-5
call,290.0,2023-12-15,0.010959094368340944,292.4,296.8,0,9,3.691794,1.0000000000000007,-2.8278876857153157e-15,-0.07600020253377546,2.0000020092837985e-5
put,300.0,2023-12-15,0.011545471841704718,0.0,0.01,0,26,NaN,NaN,NaN,NaN,NaN
call,300.0,2023-12-15,0.010958999238964992,282.5,287.45,4,19,3.450671,1.0000000000000004,-1.675533608128655e-15,-0.07862089917290993,2.0000019399981504e-5
put,310.0,2023-12-15,0.010959855403348553,0.0,0.01,0,6,1.851446,4.0e-16,-1.675533608128655e-15,-0.08124159581168389,2.0000016628555573e-5
call,310.0,2023-12-15,0.01095896752917301,271.95,276.75,0,20,3.467386,1.0000000000000004,-1.675533608128655e-15,-0.08124159581168389,2.0000016628555573e-5
put,320.0,2023-12-15,0.010959855403348553,0.0,0.01,0,151,1.762987,2.0e-16,-5.119916268761044e-16,-0.08386229245081836,2.0000017321412057e-5
call,320.0,2023-12-15,0.010959126078132927,262.1,267.35,0,11,3.148387,1.0000000000000002,-5.119916268761044e-16,-0.08386229245081836,2.0000017321412057e-5
put,330.0,2023-12-15,0.011594241501775748,0.0,0.02,0,12,NaN,NaN,NaN,NaN,NaN
call,330.0,2023-12-15,0.01095931633688483,252.4,257.7,0,5,3.073732,1.0000000000000009,-3.969053859636087e-15,-0.08648298908958521,2.0000016628555573e-5
put,340.0,2023-12-15,0.01095906265854896,0.0,0.4,0,2,2.277827,4.0e-16,-1.675533608128655e-15,-0.08910368572926045,2.0000015589270853e-5
call,340.0,2023-12-15,0.010959030948756976,241.8,247.25,0,11,2.879894,1.0000000000000004,-1.675533608128655e-15,-0.08910368572926045,2.0000015589270853e-5
put,350.0,2023-12-15,0.011690924657534246,0.0,0.04,0,2215,NaN,NaN,NaN,NaN,NaN
call,350.0,2023-12-15,0.010959189497716895,232.25,236.85,0,46,2.865485,1.0000000000000009,-3.952147730949036e-15,-0.09172438236803442,2.000001524284261e-5
put,360.0,2023-12-15,0.010958935819381024,0.0,0.74,0,73,2.244158,9.0e-16,-3.3789955510259632e-15,-0.09434507900716532,2.0000015935699092e-5
call,360.0,2023-12-15,0.010958935819381024,222.4,226.95,0,8,2.717078,1.0000000000000009,-3.3789955510259632e-15,-0.09434507900716532,2.0000015935699092e-5
put,370.0,2023-12-15,0.01095998224251649,0.0,0.26,0,47,1.849296,9.0e-16,-3.9240536985960955e-15,-0.09696577564612308,2.000001316427316e-5
call,370.0,2023-12-15,0.010959094368340944,212.55,217.2,0,26,2.696572,1.0000000000000009,-3.9240536985960955e-15,-0.09696577564612308,2.000001316427316e-5
put,380.0,2023-12-15,0.010959189497716895,0.0,0.21,0,17,1.708834,4.0e-16,-1.6362516721098247e-15,-0.09958647228543427,2.0000012817844918e-5
call,380.0,2023-12-15,0.010958935819381024,202.7,207.55,0,5,2.433016,1.0000000000000004,-1.6362516721098247e-15,-0.09958647228543427,2.0000012817844918e-5
put,390.0,2023-12-15,0.011584696854388635,0.0,0.02,0,28,NaN,NaN,NaN,NaN,NaN
call,390.0,2023-12-15,0.010958999238964992,191.8,197.6,0,7,2.304896,1.0000000000000004,-1.675533608128655e-15,-0.10220716892456519,2.000001212498844e-5
put,400.0,2023-12-15,0.011058821664129883,0.0,0.01,140,410,1.140102,9.0e-16,-3.940959827283146e-15,-0.1048278655635194,2.0000011085703717e-5
call,400.0,2023-12-15,0.010959126078132927,182.7,187.1,2,8,2.228826,1.0000000000000009,-3.940959827283146e-15,-0.1048278655635194,2.0000011085703717e-5
put,405.0,2023-12-15,0.01095896752917301,0.0,0.51,0,0,1.662017,9.0e-16,-3.3789955510259632e-15,-0.10613821388308307,2.0000011085703717e-5
call,405.0,2023-12-15,0.010959126078132927,176.75,183.35,0,0,2.212443,1.0000000000000009,-3.3789955510259632e-15,-0.10613821388308307,2.0000011085703717e-5
put,410.0,2023-12-15,0.010962392186707255,0.0,0.9,0,241,1.75944,2.0e-16,-1.0937626175023798e-15,-0.1074485622024736,2.0000010739275475e-5
call,410.0,2023-12-15,0.01095896752917301,172.65,177.3,0,3,2.010434,1.0000000000000002,-1.0937626175023798e-15,-0.1074485622024736,2.0000010739275475e-5
put,415.0,2023-12-15,0.010962392186707255,0.0,2.52,0,0,2.068713,-1.9e-15,-3.39536354960489e-15,-0.10875891052131978,2.000000686264897e-5
call,415.0,2023-12-15,0.01095896752917301,167.15,172.45,0,5,2.103899,0.9999999999999981,-3.39536354960489e-15,-0.10875891052131978,2.000000686264897e-5
put,420.0,2023-12-15,0.010962582445459158,0.0,0.9,0,103,1.656911,1.0e-15,-4.536563580044247e-15,-0.11006925884070677,2.000000720578142e-5
call,420.0,2023-12-15,0.010958999238964992,162.05,167.45,0,15,1.873453,1.000000000000001,-4.536563580044247e-15,-0.11006925884070677,2.000000720578142e-5
put,425.0,2023-12-15,0.010962075088787418,0.0,0.08,0,6,1.168474,9.0e-16,-3.9797945345284015e-15,-0.11137960716062742,2.0000006519516523e-5
call,425.0,2023-12-15,0.010958935819381024,157.55,162.25,0,5,1.825107,1.0000000000000009,-3.9797945345284015e-15,-0.11137960716062742,2.0000006519516523e-5
put,430.0,2023-12-15,0.011470002536783359,0.0,0.04,0,32,NaN,NaN,NaN,NaN,NaN
call,430.0,2023-12-15,0.010959221207508878,152.3,157.1,0,15,1.914052,0.9999999999999887,-3.847878218714389e-16,-0.11268995548037848,2.000001339766051e-5
put,435.0,2023-12-15,0.011469431760527652,0.0,0.08,0,10,NaN,NaN,NaN,NaN,NaN
call,435.0,2023-12-15,0.010959348046676814,146.9,152.75,0,2,1.942521,0.9999999999999812,4.179516793942199e-15,-0.11400030379976545,2.0000014007065437e-5
put,440.0,2023-12-15,0.010987094114662609,0.0,0.03,22,558,0.9553,-2.96e-14,9.682598789061238e-15,-0.11531065212094084,2.0000015101475495e-5
call,440.0,2023-12-15,0.01095896752917301,141.75,147.3,1,79,1.796536,0.9999999999999704,9.682598789061238e-15,-0.11531065212094084,2.0000015101475495e-5
put,445.0,2023-12-15,0.01095906265854896,0.0,3.85,0,1,1.896894,-5.48e-14,1.7530775527194198e-14,-0.11662100043979412,2.00000148712512e-5
call,445.0,2023-12-15,0.010958935819381024,137.35,141.8,0,2,1.60976,0.9999999999999452,1.7530775527194198e-14,-0.11662100043979412,2.00000148712512e-5
put,450.0,2023-12-15,0.011399987316083207,0.0,0.04,11,1510,NaN,NaN,NaN,NaN,NaN
call,450.0,2023-12-15,0.010958999238964992,132.25,136.9,1,10,1.634823,0.9999999995783968,9.388322327812159e-11,-0.11793135661294353,2.0001301658208064e-5
put,455.0,2023-12-15,0.011164573820395738,0.0,0.02,22,0,NaN,NaN,NaN,NaN,NaN
call,455.0,2023-12-15,0.010959221207508878,127.0,132.15,0,2,1.586466,0.9999999977596437,4.804597820664506e-10,-0.11924173726448496,2.0009900957055283e-5
put,460.0,2023-12-15,0.011337138508371385,0.0,0.03,36,542,NaN,NaN,NaN,NaN,NaN
call,460.0,2023-12-15,0.010959030948756976,122.55,127.0,0,15,1.438023,0.9999999970127011,6.587325691400501e-10,-0.12055209657037091,2.000987350635519e-5
put,465.0,2023-12-15,0.010960806697108067,0.0,0.73,0,0,1.16937,-4.2204676e-9,9.555664553318178e-10,-0.12186246246112213,2.0017519476960873e-5
call,465.0,2023-12-15,0.010958999238964992,117.0,122.0,0,9,1.445212,0.9999999957795324,9.555664553318178e-10,-0.12186246246112213,2.0017519476960873e-5
put,470.0,2023-12-15,0.010959633434804668,0.0,0.39,0,119,1.015885,-9.0741334e-9,2.0657209747084313e-9,-0.12317288339934683,2.0034235621660033e-5
call,470.0,2023-12-15,0.010958935819381024,112.45,117.15,0,13,1.306772,0.9999999909258666,2.0657209747084313e-9,-0.12317288339934683,2.0034235621660033e-5
put,475.0,2023-12-15,0.010960774987316083,0.0,2.52,0,1319,1.382034,-2.06161701e-8,4.70604765094937e-9,-0.12448339606724826,2.0059609803197703e-5
