option_type,strike,expiration_date,yearstoexp,bid,ask,volume,open_interest,mid_iv,delta,gamma,theta,vega
put,100.0,2025-03-28,0.008333428462709284,0.0,0.01,63,64152,0.0,0.0,2.2942548287029603e-16,0.0,1.999999735768686e-5
call,100.0,2025-03-28,0.008333365043125316,187.65,188.5,72,1104,10.0,1.0,2.2942548287029603e-16,0.0,1.999999735768686e-5
put,110.0,2025-03-28,0.00833330162354135,0.0,0.01,528,11165,0.0,-5.8e-15,-1.2762609401331082e-15,0.0,2.000000195183105e-5
call,110.0,2025-03-28,0.008333365043125316,177.65,178.5,1011,101,10.0,0.9999999999999942,-1.2762609401331082e-15,0.0,2.000000195183105e-5
put,120.0,2025-03-28,0.008341102232369356,0.0,0.01,373,6556,0.0,-1.0e-16,-2.671591046251215e-16,-7.97626010788868e-27,2.0000001672998042e-5
call,120.0,2025-03-28,0.008333777270421106,166.4,169.2,1,383,5.098952,0.9999999999999999,-2.671591046251215e-16,-7.97626010788868e-27,2.0000001672998042e-5
put,130.0,2025-03-28,0.00833330162354135,0.0,0.01,657,17996,0.0,-6.0e-16,-1.0315337636938088e-15,-1.039912983074155e-20,1.999999972159441e-5
call,130.0,2025-03-28,0.008333777270421106,156.9,159.2,0,41,4.665403,0.9999999999999994,-1.0315337636938088e-15,-1.039912983074155e-20,1.999999972159441e-5
put,140.0,2025-03-28,0.008333333333333333,0.0,0.01,2930,18964,2.533933,-9.7e-15,2.882254560586004e-16,-4.954392875723951e-16,2.000000478397575e-5
call,140.0,2025-03-28,0.008333777270421106,146.9,149.2,0,54,4.265794,0.9999999999999903,2.882254560586004e-16,-4.954392875723951e-16,2.000000478397575e-5
put,150.0,2025-03-28,0.00833330162354135,0.01,0.02,494,21047,2.37122,-1.402e-13,4.027425763095242e-14,-5.78388146122557e-13,2.000000464729073e-5
call,150.0,2025-03-28,0.008333523592085236,136.9,139.2,4,28,3.894996,0.9999999999998598,4.027425763095242e-14,-5.78388146122557e-13,2.000000464729073e-5
put,155.0,2025-03-28,0.00833330162354135,0.01,0.03,868,4652,2.258804,-2.6058e-12,7.36698772916347e-13,-1.1865922119177297e-11,2.0000010798116695e-5
call,155.0,2025-03-28,0.008333777270421106,131.9,134.2,0,21,3.719169,0.9999999999973942,7.36698772916347e-13,-1.1865922119177297e-11,2.0000010798116695e-5
call,157.5,2025-03-28,0.008333777270421106,129.4,131.7,0,0,3.633462,0.9999999999904462,2.635198475915748e-12,-4.447683234013713e-11,2.000003389788532e-5
put,157.5,2025-03-28,0.00833330162354135,0.01,0.02,133,2877,2.203974,-9.5538e-12,2.635198475915748e-12,-4.447683234013713e-11,2.000003389788532e-5
put,160.0,2025-03-28,0.008333333333333333,0.01,0.03,3913,5633,2.192262,-3.30431e-11,8.877719077605435e-12,-1.569181786584633e-10,2.0000072238033838e-5
call,160.0,2025-03-28,0.008333523592085236,126.9,129.15,0,127,3.549162,0.9999999999669569,8.877719077605435e-12,-1.569181786584633e-10,2.0000072238033838e-5
